TRANSACTION_CATEGORY,REPORTING_CATEGORY,Type,2025-12-31 00:00:00,,,,,,,,,,,,,,,,,,,
billing,charge,billingcharge,17389232.1,,,,,,,,,,,,,,,,,,,
billing,dispute_fee,billingdispute_fee,-675,,,,,,,,,,,,,,,,,,,
billing,dispute_gross,billingdispute_gross,-73224.81,,,,,,,,,,,,,,,,,,,
billing,dispute_reversal_fee,billingdispute_reversal_fee,450,,,,,,,,,,,,,,,,,,,
billing,dispute_reversal_gross,billingdispute_reversal_gross,54531.63,,,,,,,,,,,,,,,,,,,
billing,fee,billingfee,576119.01,,,,,,,,,,,,,,,,,,,
billing,platform_earning,billingplatform_earning,1060268.58,,,,,,,,,,,,,,,,,,,
billing,platform_earning_refund,billingplatform_earning_refund,-6760.26,,,,,,,,,,,,,,,,,,,
billing,refund,billingrefund,-111768.15,,,,,,,,,,,,,,,,,,,
billing,transfer,billingtransfer,-17389232.1,,,,,,,,,,,,,,,,,,,
billing,transfer_reversal,billingtransfer_reversal,119440.23,,,,,,,,,,,,,,,,,,,
client_invoice,charge,client_invoicecharge,8444835.15,,,,,,,,,,,,,,,,,,,
client_invoice,dispute_fee,client_invoicedispute_fee,-2205,,,,,,,,,,,,,,,,,,,
client_invoice,dispute_gross,client_invoicedispute_gross,-29128.83,,,,,,,,,,,,,,,,,,,
client_invoice,dispute_reversal_fee,client_invoicedispute_reversal_fee,0,,,,,,,,,,,,,,,,,,,
client_invoice,dispute_reversal_gross,client_invoicedispute_reversal_gross,7460.19,,,,,,,,,,,,,,,,,,,
client_invoice,fee,client_invoicefee,-2378.82,,,,,,,,,,,,,,,,,,,
client_invoice,network_cost,client_invoicenetwork_cost,-138824.01,,,,,,,,,,,,,,,,,,,
client_invoice,platform_earning,client_invoiceplatform_earning,266280.06,,,,,,,,,,,,,,,,,,,
client_invoice,platform_earning_refund,client_invoiceplatform_earning_refund,-2591.67,,,,,,,,,,,,,,,,,,,
client_invoice,refund,client_invoicerefund,-66831.18,,,,,,,,,,,,,,,,,,,
client_invoice,transfer,client_invoicetransfer,-8444835.15,,,,,,,,,,,,,,,,,,,
client_invoice,transfer_reversal,client_invoicetransfer_reversal,89879.46,,,,,,,,,,,,,,,,,,,
cx_transfer,transfer,cx_transfertransfer,-23256.96,,,,,,,,,,,,,,,,,,,
cx_transfer,transfer_reversal,cx_transfertransfer_reversal,0,,,,,,,,,,,,,,,,,,,
in_app,charge,in_appcharge,111736.11,,,,,,,,,,,,,,,,,,,
in_app,dispute_fee,in_appdispute_fee,0,,,,,,,,,,,,,,,,,,,
in_app,dispute_gross,in_appdispute_gross,0,,,,,,,,,,,,,,,,,,,
in_app,dispute_reversal_fee,in_appdispute_reversal_fee,0,,,,,,,,,,,,,,,,,,,
in_app,dispute_reversal_gross,in_appdispute_reversal_gross,0,,,,,,,,,,,,,,,,,,,
in_app,fee,in_appfee,-263.23,,,,,,,,,,,,,,,,,,,
in_app,network_cost,in_appnetwork_cost,-3383.29,,,,,,,,,,,,,,,,,,,
in_app,refund,in_apprefund,-143.88,,,,,,,,,,,,,,,,,,,
billing_instant,platform_earning,billing_instantplatform_earning,779402.1,,,,,,,,,,,,,,,,,,,
billing_instant,platform_earning_refund,billing_instantplatform_earning_refund,-5763.99,,,,,,,,,,,,,,,,,,,
other,charge,othercharge,0,,,,,,,,,,,,,,,,,,,
other,connect_collection_transfer,otherconnect_collection_transfer,-526651.5,,,,,,,,,,,,,,,,,,,
other,fee,otherfee,-1138670.85,,,,,,,,,,,,,,,,,,,
other,network_cost,othernetwork_cost,-2857156.69,,,,,,,,,,,,,,,,,,,
other,platform_earning,otherplatform_earning,0,,,,,,,,,,,,,,,,,,,
other,refund,otherrefund,0,,,,,,,,,,,,,,,,,,,
other,refund_failure,otherrefund_failure,7302.96,,,,,,,,,,,,,,,,,,,
other,transfer,othertransfer,0,,,,,,,,,,,,,,,,,,,
payroll,charge,payrollcharge,133742.43,,,,,,,,,,,,,,,,,,,
payroll,dispute_fee,payrolldispute_fee,0,,,,,,,,,,,,,,,,,,,
payroll,dispute_gross,payrolldispute_gross,0,,,,,,,,,,,,,,,,,,,
payroll,fee,payrollfee,-80.43,,,,,,,,,,,,,,,,,,,
payroll,network_cost,payrollnetwork_cost,-1965.6,,,,,,,,,,,,,,,,,,,
payroll,refund,payrollrefund,-1926,,,,,,,,,,,,,,,,,,,
connect,charge,connectcharge,913610914.32,,,,,,,,,,,,,,,,,,,
connect,dispute_fee,connectdispute_fee,-42345,,,,,,,,,,,,,,,,,,,
connect,dispute_gross,connectdispute_gross,-455022.99,,,,,,,,,,,,,,,,,,,
connect,dispute_reversal_fee,connectdispute_reversal_fee,0,,,,,,,,,,,,,,,,,,,
connect,dispute_reversal_gross,connectdispute_reversal_gross,111510.03,,,,,,,,,,,,,,,,,,,
connect,fee,connectfee,-353330.84,,,,,,,,,,,,,,,,,,,
connect,network_cost,connectnetwork_cost,-13725550.2,,,,,,,,,,,,,,,,,,,
connect,platform_earning,connectplatform_earning,26207053.29,,,,,,,,,,,,,,,,,,,
connect,platform_earning_refund,connectplatform_earning_refund,-111908.52,,,,,,,,,,,,,,,,,,,
connect,refund,connectrefund,-3630794.67,,,,,,,,,,,,,,,,,,,
connect,transfer,connecttransfer,-913610914.32,,,,,,,,,,,,,,,,,,,
connect,transfer_reversal,connecttransfer_reversal,3990660.99,,,,,,,,,,,,,,,,,,,
subscription_silver,charge,subscription_silvercharge,8944461.33,,,,,,,,,,,,,,,,,,,
subscription_silver,dispute_fee,subscription_silverdispute_fee,-6120,,,,,,,,,,,,,,,,,,,
subscription_silver,dispute_gross,subscription_silverdispute_gross,-30002.34,,,,,,,,,,,,,,,,,,,
subscription_silver,dispute_reversal_fee,subscription_silverdispute_reversal_fee,0,,,,,,,,,,,,,,,,,,,
subscription_silver,dispute_reversal_gross,subscription_silverdispute_reversal_gross,1884.12,,,,,,,,,,,,,,,,,,,
subscription_silver,fee,subscription_silverfee,-5569.57,,,,,,,,,,,,,,,,,,,
subscription_silver,network_cost,subscription_silvernetwork_cost,-134076.97,,,,,,,,,,,,,,,,,,,
subscription_silver,refund,subscription_silverrefund,-121404.39,,,,,,,,,,,,,,,,,,,
subscription_diamond,charge,subscription_diamondcharge,480967.65,,,,,,,,,,,,,,,,,,,
subscription_diamond,dispute_fee,subscription_diamonddispute_fee,-45,,,,,,,,,,,,,,,,,,,
subscription_diamond,dispute_gross,subscription_diamonddispute_gross,-379.65,,,,,,,,,,,,,,,,,,,
subscription_diamond,dispute_reversal_fee,subscription_diamonddispute_reversal_fee,0,,,,,,,,,,,,,,,,,,,
subscription_diamond,dispute_reversal_gross,subscription_diamonddispute_reversal_gross,0,,,,,,,,,,,,,,,,,,,
subscription_diamond,fee,subscription_diamondfee,-170.58,,,,,,,,,,,,,,,,,,,
subscription_diamond,network_cost,subscription_diamondnetwork_cost,-7392.96,,,,,,,,,,,,,,,,,,,
subscription_diamond,refund,subscription_diamondrefund,-12859.26,,,,,,,,,,,,,,,,,,,
subscription_lite_and_cobranded,charge,subscription_lite_and_cobrandedcharge,5008958.67,,,,,,,,,,,,,,,,,,,
subscription_lite_and_cobranded,dispute_fee,subscription_lite_and_cobrandeddispute_fee,-2745,,,,,,,,,,,,,,,,,,,
subscription_lite_and_cobranded,dispute_gross,subscription_lite_and_cobrandeddispute_gross,-15309.48,,,,,,,,,,,,,,,,,,,
subscription_lite_and_cobranded,dispute_reversal_fee,subscription_lite_and_cobrandeddispute_reversal_fee,0,,,,,,,,,,,,,,,,,,,
subscription_lite_and_cobranded,dispute_reversal_gross,subscription_lite_and_cobrandeddispute_reversal_gross,1224,,,,,,,,,,,,,,,,,,,
subscription_lite_and_cobranded,fee,subscription_lite_and_cobrandedfee,-5016.05,,,,,,,,,,,,,,,,,,,
subscription_lite_and_cobranded,network_cost,subscription_lite_and_cobrandednetwork_cost,-91487.23,,,,,,,,,,,,,,,,,,,
subscription_lite_and_cobranded,refund,subscription_lite_and_cobrandedrefund,-120037.95,,,,,,,,,,,,,,,,,,,
subscription_tax,silver,subscription_taxsilver,206141.43,,,,,,,,,,,,,,,,,,,
subscription_tax,monthly,subscription_taxmonthly,324665.97,,,,,,,,,,,,,,,,,,,
subscription_tax,diamond,subscription_taxdiamond,11637.06,,,,,,,,,,,,,,,,,,,
subscription_tax,lite,subscription_taxlite,111482.94,,,,,,,,,,,,,,,,,,,
subscription_tax,yearly,subscription_taxyearly,4595.46,,,,,,,,,,,,,,,,,,,
,,,                             -  ,,,,,,,,,,,,,,,,,,,
total_subscription,charge,total_subscriptioncharge,14434387.65,,,,,,,,,,,,,,,,,,,
total_subscription,dispute_fee,total_subscriptiondispute_fee,-8910,,,,,,,,,,,,,,,,,,,
total_subscription,dispute_gross,total_subscriptiondispute_gross,-45691.47,,,,,,,,,,,,,,,,,,,
total_subscription,dispute_reversal_fee,total_subscriptiondispute_reversal_fee,0,,,,,,,,,,,,,,,,,,,
total_subscription,dispute_reversal_gross,total_subscriptiondispute_reversal_gross,3108.12,,,,,,,,,,,,,,,,,,,
total_subscription,fee,total_subscriptionfee,-10194.24,,,,,,,,,,,,,,,,,,,
total_subscription,network_cost,total_subscriptionnetwork_cost,-218854.91,,,,,,,,,,,,,,,,,,,
total_subscription,refund,total_subscriptionrefund,-254301.6,,,,,,,,,,,,,,,,,,,
,,,                             -  ,,,,,,,,,,,,,,,,,,,
subscription_cycle_monthly,charge,subscription_cycle_monthlycharge,13414089.6,,,,,,,,,,,,,,,,,,,
subscription_cycle_monthly,dispute_fee,subscription_cycle_monthlydispute_fee,-8055,,,,,,,,,,,,,,,,,,,
subscription_cycle_monthly,dispute_gross,subscription_cycle_monthlydispute_gross,-25219.59,,,,,,,,,,,,,,,,,,,
subscription_cycle_monthly,dispute_reversal_fee,subscription_cycle_monthlydispute_reversal_fee,0,,,,,,,,,,,,,,,,,,,
subscription_cycle_monthly,dispute_reversal_gross,subscription_cycle_monthlydispute_reversal_gross,2244.12,,,,,,,,,,,,,,,,,,,
subscription_cycle_monthly,fee,subscription_cycle_monthlyfee,-9943.63,,,,,,,,,,,,,,,,,,,
subscription_cycle_monthly,network_cost,subscription_cycle_monthlynetwork_cost,-205120.82,,,,,,,,,,,,,,,,,,,
subscription_cycle_monthly,refund,subscription_cycle_monthlyrefund,-48485.64,,,,,,,,,,,,,,,,,,,
subscription_cycle_yearly,charge,subscription_cycle_yearlycharge,1020298.05,,,,,,,,,,,,,,,,,,,
subscription_cycle_yearly,dispute_fee,subscription_cycle_yearlydispute_fee,-855,,,,,,,,,,,,,,,,,,,
subscription_cycle_yearly,dispute_gross,subscription_cycle_yearlydispute_gross,-20471.88,,,,,,,,,,,,,,,,,,,
subscription_cycle_yearly,dispute_reversal_fee,subscription_cycle_yearlydispute_reversal_fee,0,,,,,,,,,,,,,,,,,,,
subscription_cycle_yearly,dispute_reversal_gross,subscription_cycle_yearlydispute_reversal_gross,864,,,,,,,,,,,,,,,,,,,
subscription_cycle_yearly,fee,subscription_cycle_yearlyfee,-250.61,,,,,,,,,,,,,,,,,,,
subscription_cycle_yearly,network_cost,subscription_cycle_yearlynetwork_cost,-13734.09,,,,,,,,,,,,,,,,,,,
subscription_cycle_yearly,refund,subscription_cycle_yearlyrefund,-205815.96,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
